rank,code,company_name,market_cap,scrape_date
1,7203,トヨタ自動車(株),47890402,2025-12-07
2,8306,(株)三菱ＵＦＪフィナンシャル・グループ,30019375,2025-12-07
3,9984,ソフトバンクグループ(株),27538248,2025-12-07
4,6758,ソニーグループ(株),26640980,2025-12-07
5,6501,(株)日立製作所,22371762,2025-12-07
6,8316,(株)三井住友フィナンシャルグループ,19090310,2025-12-07
7,9983,(株)ファーストリテイリング,18055858,2025-12-07
8,7974,任天堂(株),16233625,2025-12-07
9,8035,東京エレクトロン(株),15629909,2025-12-07
10,6857,(株)アドバンテスト,15476053,2025-12-07
11,8058,三菱商事(株),15084300,2025-12-07
12,8001,伊藤忠商事(株),14566719,2025-12-07
13,8411,(株)みずほフィナンシャルグループ,14100013,2025-12-07
14,9432,ＮＴＴ(株),13935694,2025-12-07
15,4519,中外製薬(株),13823682,2025-12-07
16,7011,三菱重工業(株),13774604,2025-12-07
17,6861,(株)キーエンス,13198881,2025-12-07
18,6098,(株)リクルートホールディングス,12900711,2025-12-07
19,8031,三井物産(株),12236078,2025-12-07
20,2914,ＪＴ,11482000,2025-12-07
21,9433,ＫＤＤＩ(株),11202492,2025-12-07
22,8766,東京海上ホールディングス(株),10693086,2025-12-07
23,9434,ソフトバンク(株),10311280,2025-12-07
24,4063,信越化学工業(株),9543860,2025-12-07
25,6503,三菱電機(株),9441785,2025-12-07
26,6702,富士通(株),8363136,2025-12-07
27,7741,ＨＯＹＡ(株),8200631,2025-12-07
28,7267,ホンダ,8025600,2025-12-07
29,6701,ＮＥＣ,7807599,2025-12-07
30,8002,丸紅(株),7046598,2025-12-07
31,8267,イオン(株),7020060,2025-12-07
32,4502,武田薬品工業(株),7016247,2025-12-07
33,7182,(株)ゆうちょ銀行,7006934,2025-12-07
34,6981,(株)村田製作所,6632983,2025-12-07
35,4568,第一三共(株),6546875,2025-12-07
36,7751,キヤノン(株),6041948,2025-12-07
37,8053,住友商事(株),5935991,2025-12-07
38,6954,ファナック(株),5826516,2025-12-07
39,6902,(株)デンソー,5826326,2025-12-07
40,6367,ダイキン工業(株),5777276,2025-12-07
41,6201,(株)豊田自動織機,5650077,2025-12-07
42,3382,(株)セブン＆アイ・ホールディングス,5459149,2025-12-07
43,5802,住友電気工業(株),5299553,2025-12-07
44,8015,豊田通商(株),5266237,2025-12-07
45,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス(株),5253782,2025-12-07
46,4661,(株)オリエンタルランド,5221307,2025-12-07
47,5803,(株)フジクラ,5103644,2025-12-07
48,285A,キオクシアホールディングス(株),5098159,2025-12-07
49,6146,(株)ディスコ,4999385,2025-12-07
50,5108,(株)ブリヂストン,4995888,2025-12-07
51,8591,オリックス(株),4978641,2025-12-07
52,4578,大塚ホールディングス(株),4974321,2025-12-07
53,8801,三井不動産(株),4871614,2025-12-07
54,6301,コマツ,4868880,2025-12-07
55,6762,ＴＤＫ(株),4729411,2025-12-07
56,8630,ＳＯＭＰＯホールディングス(株),4675815,2025-12-07
57,6178,日本郵政(株),4585752,2025-12-07
58,6752,パナソニック　ホールディングス(株),4543328,2025-12-07
59,8750,第一生命ホールディングス(株),4518972,2025-12-07
60,7269,スズキ(株),4504797,2025-12-07
61,8802,三菱地所(株),4408820,2025-12-07
62,9020,東日本旅客鉄道(株),4379966,2025-12-07
63,9022,東海旅客鉄道(株),4374410,2025-12-07
64,4901,富士フイルムホールディングス(株),4042601,2025-12-07
65,1605,(株)ＩＮＰＥＸ,3995239,2025-12-07
66,6723,ルネサスエレクトロニクス(株),3873108,2025-12-07
67,8604,野村ホールディングス(株),3793112,2025-12-07
68,8308,(株)りそなホールディングス,3622205,2025-12-07
69,4503,アステラス製薬(株),3619326,2025-12-07
70,2802,味の素(株),3595154,2025-12-07
71,6273,ＳＭＣ(株),3587542,2025-12-07
72,4307,(株)野村総合研究所,3510117,2025-12-07
73,4543,テルモ(株),3507446,2025-12-07
74,8830,住友不動産(株),3425292,2025-12-07
75,1925,大和ハウス工業(株),3348973,2025-12-07
76,5401,日本製鉄(株),3340251,2025-12-07
77,7013,(株)ＩＨＩ,3268851,2025-12-07
78,6971,京セラ(株),3232415,2025-12-07
79,9766,コナミグループ(株),3213683,2025-12-07
80,8309,三井住友トラストグループ(株),3208800,2025-12-07
81,3659,(株)ネクソン,3106443,2025-12-07
82,6920,レーザーテック(株),3073737,2025-12-07
83,7532,(株)パン・パシフィック・インターナショナルホールディングス,2983799,2025-12-07
84,1812,鹿島,2964703,2025-12-07
85,5020,ＥＮＥＯＳホールディングス(株),2898947,2025-12-07
86,4452,花王(株),2898364,2025-12-07
87,4689,ＬＩＮＥヤフー(株),2867896,2025-12-07
88,7832,(株)バンダイナムコホールディングス,2809300,2025-12-07
89,9503,関西電力(株),2765020,2025-12-07
90,7936,(株)アシックス,2724929,2025-12-07
91,2502,アサヒグループホールディングス(株),2647318,2025-12-07
92,6326,(株)クボタ,2589518,2025-12-07
93,6988,日東電工(株),2589087,2025-12-07
94,4684,(株)オービック,2495976,2025-12-07
95,9735,セコム(株),2484644,2025-12-07
96,6594,ニデック(株),2469810,2025-12-07
97,7270,(株)ＳＵＢＡＲＵ,2430086,2025-12-07
98,4612,日本ペイントホールディングス(株),2383550,2025-12-07
99,4507,塩野義製薬(株),2358860,2025-12-07
100,7733,オリンパス(株),2259620,2025-12-07
101,1928,積水ハウス(株),2210186,2025-12-07
102,9531,東京ガス(株),2192034,2025-12-07
103,8473,ＳＢＩホールディングス(株),2189450,2025-12-07
104,1802,(株)大林組,2178823,2025-12-07
105,1801,大成建設(株),2154869,2025-12-07
106,2503,キリンホールディングス(株),2139217,2025-12-07
107,9101,日本郵船(株),2097145,2025-12-07
108,4755,楽天グループ(株),2064077,2025-12-07
109,9532,大阪ガス(株),2055457,2025-12-07
110,7259,(株)アイシン,2047846,2025-12-07
111,8601,(株)大和証券グループ本社,2045685,2025-12-07
112,4091,日本酸素ホールディングス(株),2044198,2025-12-07
113,9697,(株)カプコン,1957750,2025-12-07
114,6383,(株)ダイフク,1904469,2025-12-07
115,1803,清水建設(株),1896002,2025-12-07
116,8795,(株)Ｔ＆Ｄホールディングス,1894752,2025-12-07
117,8593,三菱ＨＣキャピタル(株),1818971,2025-12-07
118,3407,旭化成(株),1818499,2025-12-07
119,9435,(株)光通信,1802217,2025-12-07
120,7012,川崎重工業(株),1795924,2025-12-07
121,8697,(株)日本取引所グループ,1792211,2025-12-07
122,4062,イビデン(株),1789633,2025-12-07
123,9719,ＳＣＳＫ(株),1781683,2025-12-07
124,6361,荏原,1766510,2025-12-07
125,9502,中部電力(株),1716112,2025-12-07
126,4716,日本オラクル(株),1689214,2025-12-07
127,8113,ユニ・チャーム(株),1681840,2025-12-07
128,7202,いすゞ自動車(株),1662160,2025-12-07
129,5016,ＪＸ金属(株),1649879,2025-12-07
130,7453,(株)良品計画,1641159,2025-12-07
131,7181,(株)かんぽ生命保険,1628955,2025-12-07
132,6504,富士電機(株),1625098,2025-12-07
